iter	AUC	Logloss
0	0.785107087	0.6682111282
1	0.8225435504	0.642714241
2	0.8330212117	0.6185724652
3	0.8356055258	0.5980184899
4	0.8341457723	0.5799278106
5	0.8351198751	0.563512881
6	0.8372004111	0.5479310747
7	0.8389394919	0.5353830037
8	0.8403054771	0.5226239112
9	0.8393167075	0.5133415712
10	0.8403292075	0.5031216098
11	0.8419326622	0.49398431
12	0.8431636803	0.4850828876
13	0.843673391	0.4781909451
14	0.8437337059	0.4729623776
15	0.8441084496	0.4669744995
16	0.8440593407	0.4626928797
17	0.8435646263	0.459112942
18	0.8447112694	0.4555380982
19	0.8453500145	0.4517636853
20	0.8463860802	0.4480914783
21	0.8473443627	0.444703683
22	0.847555465	0.4424663016
23	0.8484152002	0.4392160176
24	0.8488172998	0.4364870043
25	0.8493917749	0.4335831717
26	0.8497248254	0.4316481726
27	0.8496931848	0.4307339419
28	0.8499051111	0.4291250512
29	0.850387301	0.4271485436
30	0.8507847864	0.4254928145
31	0.8513854639	0.4238444082
32	0.8522321802	0.4221099142
33	0.8523992823	0.4215214836
34	0.8528284083	0.4203302637
35	0.8533662989	0.4190313785
36	0.8537349452	0.4177527395
37	0.8544738856	0.416257374
38	0.8548051234	0.4151384664
39	0.8555495021	0.4137782946
40	0.8561750636	0.4124265841
41	0.856689059	0.4114191821
42	0.8566860927	0.4111804085
43	0.8575252285	0.4094993928
44	0.8576654689	0.4089100322
45	0.8578622341	0.4082144091
46	0.8582196743	0.4073709383
47	0.8586919765	0.4064051818
48	0.8587348232	0.4062255047
49	0.8589713039	0.4057392729
50	0.8593369839	0.4050121909
51	0.8599790249	0.403836341
52	0.8604879116	0.4031538532
53	0.8605070278	0.4030062143
54	0.8607941006	0.4023599337
55	0.8611538479	0.4018619202
56	0.8614903592	0.4011719251
57	0.8616248318	0.4007364645
58	0.8616762478	0.4006012531
59	0.8617569974	0.4002781053
60	0.8621419583	0.3996911706
61	0.8625847623	0.3991607436
62	0.8630458585	0.3984800893
63	0.8634357633	0.3978428741
64	0.8639428373	0.3970209654
65	0.8644708402	0.396253714
66	0.8647078153	0.3958006423
67	0.8648490446	0.3955089415
68	0.8652115934	0.3950409587
69	0.8653361784	0.3947985579
70	0.8657371244	0.3942493101
71	0.8660838529	0.3935789104
72	0.8662970976	0.3931771692
73	0.8665902677	0.3927175918
74	0.8665856535	0.3925186422
75	0.8667665983	0.3922958825
76	0.8669706144	0.3917888969
77	0.8673555754	0.3913043585
78	0.867347006	0.3912594259
79	0.8675569548	0.3909318502
80	0.8680019011	0.390317077
81	0.8681805388	0.3900284064
82	0.8683156706	0.3898077285
83	0.8683693938	0.3895887088
84	0.8683819182	0.3895436987
85	0.8684443755	0.3893296171
86	0.8687233733	0.3889865273
87	0.8693143279	0.3883583653
88	0.8695460295	0.3878849783
89	0.869993283	0.3873121153
90	0.8705366118	0.3866305804
91	0.8706285674	0.3864557939
92	0.8706275786	0.3864557116
93	0.8707419463	0.3862524838
94	0.8708002837	0.3861715851
95	0.8709090484	0.3860525787
96	0.8710656035	0.385790438
97	0.8711292144	0.3857206227
98	0.8713009307	0.3854760976
99	0.8716272246	0.3850189265
100	0.8716568877	0.3848603334
101	0.8716647979	0.3848533648
102	0.8717798248	0.3846665606
103	0.8717798248	0.3846665534
104	0.8720049346	0.384428181
105	0.8721265533	0.3842256908
106	0.8721305084	0.384223385
107	0.8721947784	0.3841467675
108	0.8722404266	0.3840465724
109	0.8722555877	0.384019413
110	0.8723524871	0.3838684167
111	0.8723663299	0.3838570075
112	0.8725476043	0.3836142095
113	0.8729892547	0.3830304864
114	0.8731036224	0.3828642033
115	0.8732347992	0.3826247086
116	0.8734104705	0.3823706094
117	0.8734681488	0.3823128319
118	0.8735090179	0.3822427532
119	0.8738896942	0.3816748681
120	0.8739556122	0.3815980274
121	0.8739463836	0.3815966818
122	0.8739719269	0.3815575391
123	0.8741291412	0.3813568173
124	0.8741657257	0.38128764
125	0.8741706695	0.3812704846
126	0.8743580414	0.380988179
127	0.8743616669	0.3809871347
128	0.8743616669	0.380987131
129	0.8747311371	0.3804945055
130	0.8748257294	0.3803229983
131	0.8749536102	0.3801743153
132	0.8754394257	0.379570737
133	0.8757373749	0.3792020642
134	0.8758766266	0.3789954635
135	0.8759306793	0.3789496593
136	0.8759837433	0.3787635894
137	0.8761086579	0.3785185501
138	0.8762190705	0.3783428751
139	0.8763718354	0.3781804924
140	0.8765234467	0.3779878935
141	0.8765356415	0.377965869
142	0.8765926606	0.3778958736
143	0.8767330658	0.3777404299
144	0.876929831	0.3775175006
145	0.8769690522	0.3774858166
146	0.8769604828	0.3774836112
147	0.8771987763	0.377111535
148	0.8772584321	0.3770388874
149	0.8772581025	0.3770380854
150	0.8774189423	0.376795677
151	0.8778843232	0.37630404
152	0.8779836945	0.3761467221
153	0.878084549	0.3760100854
154	0.8783732697	0.3756229428
155	0.8784032624	0.3755836639
156	0.8784797273	0.375518702
157	0.8790232209	0.3749069502
158	0.8792496492	0.3746409892
159	0.8797084382	0.3741121465
160	0.8797967683	0.373948985
161	0.8800057283	0.3736707696
162	0.8803376253	0.3732335031
163	0.8805429597	0.3729322307
164	0.8807482942	0.3726806681
165	0.8808376131	0.3725955567
166	0.8808494783	0.3725908185
167	0.8808494783	0.3725904834
168	0.8810238313	0.3724178407
169	0.8810192171	0.3724165255
170	0.8810838167	0.3723433214
171	0.8810976595	0.3723299392
172	0.8811072176	0.3723181828
173	0.8811210603	0.3722952683
174	0.8811853304	0.3722365613
175	0.8814799837	0.3718682614
176	0.8817647493	0.3715207041
177	0.8821365267	0.3710727649
178	0.882243973	0.3709383159
179	0.8825188509	0.3706674901
180	0.882625638	0.3705287021
181	0.882625638	0.3704899406
182	0.8826351961	0.3704871205
183	0.882632889	0.3704863293
184	0.8828319613	0.3702187749
185	0.8830171907	0.3699182452
186	0.8830185091	0.3699006729
187	0.8833949007	0.3695153836
188	0.8837732699	0.3689817519
189	0.8839496004	0.3687114975
190	0.8841611971	0.36842551
191	0.8841849276	0.3684076616
192	0.8841829501	0.3684071522
193	0.8843250033	0.3681951832
194	0.8843424715	0.3681549576
195	0.8844954012	0.3679790104
196	0.8845840609	0.3678485698
197	0.8846605257	0.367729123
198	0.8847643466	0.3676218702
199	0.884982535	0.3673772026
200	0.8851591952	0.3671931635
201	0.8853750765	0.3669674413
202	0.8855902987	0.3667034868
203	0.8859236789	0.3663257768
204	0.8859750949	0.3662615269
205	0.886248984	0.3659105834
206	0.8863577487	0.3657919319
207	0.8865719821	0.3655273386
208	0.8869750705	0.3650151134
209	0.8873521213	0.3645232688
210	0.8875024142	0.364276311
211	0.8880323947	0.3636412015
212	0.8881810398	0.3634751133
213	0.8884262546	0.3632183214
214	0.8884328464	0.3631805868
215	0.8884783298	0.3631177323
216	0.8885172214	0.3630487022
217	0.8890524753	0.3623972367
218	0.8891371799	0.3622645417
219	0.8892014499	0.3621913927
220	0.8892828586	0.3620714243
221	0.8894588596	0.3618692472
222	0.8895567478	0.3618062502
223	0.8896226658	0.3617116698
224	0.8897419773	0.3615689022
225	0.8899878513	0.3612598923
226	0.8903317783	0.3609085939
227	0.8904009922	0.360789554
228	0.8904833897	0.3607265261
229	0.8905529331	0.3606555674
230	0.8908330845	0.3603165595
231	0.8910802769	0.3600688328
232	0.8914362339	0.3596606175
233	0.8915176426	0.3595496834
234	0.8918610752	0.3591657399
235	0.8921115635	0.3589293624
236	0.8921942906	0.3588091865
237	0.8923889134	0.3586340395
238	0.8926858738	0.3582345679
239	0.8927501439	0.3580872938
240	0.893020078	0.3577108501
241	0.8930293065	0.3576601093
242	0.8930932469	0.3575879188
243	0.8933681248	0.3572666874
244	0.8936258641	0.3569811902
245	0.8937039769	0.3568976795
246	0.8937639623	0.3568282504
247	0.8938321873	0.3567366485
248	0.8939340306	0.356551238
249	0.894201328	0.3562097266
250	0.8943654637	0.3560391218
251	0.8945586034	0.3558764143
252	0.8946782445	0.3557077087
253	0.8947451512	0.3556170897
254	0.8950210179	0.3553155106
255	0.8951119847	0.3552149771
256	0.895331162	0.3549370724
257	0.8954471776	0.3547936189
258	0.8955041967	0.354730628
259	0.895544077	0.3546813106
