iter	Passed	Remaining
0	18	18237
1	32	16242
2	48	16189
3	66	16474
4	80	15939
5	91	15195
6	104	14777
7	117	14586
8	130	14315
9	139	13796
10	152	13693
11	165	13655
12	179	13602
13	196	13838
14	205	13485
15	218	13439
16	226	13080
17	234	12766
18	244	12631
19	254	12488
20	268	12503
21	281	12495
22	289	12313
23	303	12325
24	316	12329
25	330	12366
26	340	12273
27	345	11981
28	355	11888
29	367	11870
30	375	11733
31	387	11720
32	401	11753
33	405	11520
34	415	11452
35	426	11417
36	439	11451
37	451	11439
38	462	11391
39	475	11402
40	488	11423
41	501	11446
42	506	11264
43	518	11265
44	529	11240
45	541	11237
46	554	11251
47	566	11230
48	571	11088
49	584	11106
50	595	11083
51	609	11107
52	622	11118
53	627	11000
54	639	10984
55	652	10994
56	664	10989
57	678	11012
58	692	11038
59	698	10939
60	709	10927
61	722	10932
62	734	10920
63	747	10925
64	759	10924
65	772	10934
66	783	10906
67	794	10887
68	806	10888
69	818	10878
70	830	10868
71	843	10871
72	857	10893
73	868	10871
74	881	10874
75	892	10848
76	905	10854
77	919	10866
78	931	10857
79	945	10872
80	959	10886
81	975	10923
82	991	10949
83	1003	10940
84	1008	10853
85	1024	10891
86	1037	10889
87	1054	10926
88	1074	10999
89	1091	11041
90	1108	11069
91	1125	11104
92	1131	11032
93	1148	11073
94	1165	11106
95	1181	11123
96	1196	11135
97	1210	11137
98	1223	11134
99	1240	11161
100	1260	11220
101	1268	11166
102	1285	11193
103	1291	11124
104	1304	11122
105	1320	11138
106	1326	11070
107	1336	11041
108	1350	11040
109	1357	10983
110	1372	10991
111	1378	10932
112	1393	10939
113	1413	10984
114	1430	11011
115	1449	11046
116	1466	11065
117	1481	11071
118	1496	11076
119	1511	11082
120	1528	11103
121	1536	11060
122	1550	11053
123	1563	11047
124	1575	11026
125	1586	11005
126	1599	10996
127	1604	10931
128	1608	10857
129	1620	10844
130	1632	10832
131	1646	10825
132	1658	10809
133	1670	10799
134	1683	10789
135	1697	10781
136	1709	10766
137	1722	10760
138	1735	10752
139	1749	10744
140	1762	10737
141	1779	10751
142	1794	10751
143	1809	10759
144	1824	10755
145	1835	10734
146	1843	10697
147	1856	10687
148	1868	10670
149	1873	10614
150	1886	10607
151	1898	10593
152	1912	10585
153	1935	10635
154	1949	10625
155	1959	10603
156	1972	10593
157	1984	10575
158	1997	10563
159	2009	10549
160	2023	10544
161	2037	10539
162	2051	10532
163	2063	10518
164	2076	10506
165	2088	10490
166	2094	10445
167	2099	10397
168	2111	10381
169	2118	10341
