iter	Passed	Remaining
0	11	11686
1	20	10367
2	29	9839
3	38	9627
4	47	9487
5	56	9315
6	64	9216
7	73	9161
8	82	9048
9	90	8953
10	99	8912
11	107	8817
12	115	8793
13	125	8809
14	132	8707
15	140	8647
16	149	8630
17	158	8648
18	168	8690
19	177	8700
20	186	8689
21	195	8677
22	200	8523
23	209	8519
24	217	8495
25	225	8463
26	233	8432
27	240	8360
28	249	8345
29	257	8330
30	265	8283
31	275	8341
32	283	8320
33	291	8288
34	300	8280
35	306	8219
36	315	8209
37	324	8205
38	330	8155
39	338	8132
40	347	8124
41	354	8089
42	362	8072
43	370	8045
44	376	7998
45	383	7953
46	392	7949
47	400	7947
48	409	7942
49	417	7935
50	425	7926
51	433	7901
52	438	7832
53	442	7758
54	451	7756
55	459	7752
56	467	7738
57	476	7731
58	484	7725
59	492	7715
60	500	7698
61	508	7690
62	516	7677
63	524	7677
64	530	7630
65	538	7624
66	547	7623
67	552	7567
68	560	7564
69	568	7550
70	576	7540
71	584	7533
72	589	7483
73	596	7470
74	604	7451
75	612	7445
76	620	7441
77	629	7439
78	633	7390
79	641	7375
80	650	7377
81	656	7353
82	665	7352
83	674	7352
84	682	7345
85	691	7344
86	699	7335
87	707	7331
88	715	7328
89	721	7292
90	729	7286
91	737	7280
92	746	7277
93	754	7270
94	764	7285
95	775	7306
96	785	7312
97	792	7290
98	800	7289
99	809	7282
100	816	7271
101	824	7259
102	832	7253
103	841	7247
104	849	7242
105	857	7235
106	865	7226
107	874	7222
108	881	7205
109	890	7201
110	899	7200
111	907	7193
112	915	7189
113	923	7177
114	931	7172
115	940	7164
116	948	7158
117	957	7157
118	965	7146
119	973	7141
120	982	7139
121	991	7132
122	999	7129
123	1008	7123
124	1017	7119
125	1025	7113
126	1034	7108
127	1042	7103
128	1050	7093
129	1057	7074
130	1065	7067
131	1073	7058
132	1081	7052
133	1090	7045
134	1096	7028
135	1105	7023
136	1113	7016
137	1121	7008
138	1128	6992
139	1135	6977
140	1143	6969
141	1152	6962
142	1160	6954
143	1169	6949
144	1177	6943
145	1185	6937
146	1194	6930
147	1202	6924
148	1211	6918
149	1220	6915
150	1228	6909
151	1238	6907
152	1247	6903
153	1256	6900
154	1264	6893
155	1272	6885
156	1280	6877
157	1289	6873
158	1297	6865
159	1306	6858
160	1314	6852
161	1324	6849
162	1332	6841
163	1340	6834
164	1348	6825
165	1357	6820
166	1366	6816
167	1375	6812
168	1384	6806
169	1392	6796
170	1400	6789
171	1409	6784
172	1417	6777
173	1426	6770
174	1434	6763
175	1443	6757
176	1451	6749
177	1459	6741
178	1467	6731
179	1476	6725
180	1484	6717
181	1493	6711
182	1501	6704
183	1510	6700
184	1519	6694
185	1527	6686
186	1536	6679
187	1544	6671
188	1552	6661
189	1560	6653
190	1569	6645
191	1578	6641
192	1586	6633
193	1595	6627
194	1604	6621
195	1612	6614
196	1620	6606
197	1629	6601
198	1638	6594
199	1647	6589
200	1655	6580
201	1663	6573
202	1672	6567
203	1681	6561
204	1690	6554
205	1698	6548
206	1707	6541
207	1715	6530
208	1723	6524
209	1732	6517
210	1741	6510
211	1749	6504
212	1758	6496
213	1767	6490
214	1775	6484
215	1784	6477
216	1793	6471
217	1802	6464
218	1811	6459
219	1819	6449
220	1827	6441
221	1836	6435
222	1845	6430
223	1854	6423
224	1862	6414
225	1870	6404
226	1878	6398
227	1887	6391
228	1896	6384
229	1905	6378
230	1914	6371
231	1922	6365
232	1931	6359
233	1940	6351
234	1948	6344
235	1957	6338
236	1964	6324
237	1973	6317
238	1981	6308
239	1990	6302
240	1998	6294
241	2007	6288
242	2016	6280
243	2024	6273
244	2033	6265
245	2041	6258
246	2050	6250
247	2058	6242
248	2067	6234
249	2075	6226
250	2083	6217
251	2092	6209
252	2101	6203
253	2109	6196
254	2118	6189
255	2127	6182
256	2136	6175
257	2144	6167
258	2152	6159
259	2162	6154
260	2171	6148
261	2179	6139
262	2188	6132
263	2197	6125
